matchId,pressing_teamId,opponent_teamId,zone,opponent_passes,defensive_actions,PPDA_zone,opponent_passes_all,defensive_actions_all,PPDA_overall,pressing_team,opponent_team
1694401,10682,14358,DEF_THIRD,74,84,0.881,448,191,2.346,Wales,Russia
1694401,10682,14358,MID_THIRD,226,53,4.264,448,191,2.346,Wales,Russia
1694401,14358,10682,ATT_THIRD,62,62,1.0,475,195,2.436,Russia,Wales
1694401,14358,10682,DEF_THIRD,194,68,2.853,475,195,2.436,Russia,Wales
1694401,14358,10682,MID_THIRD,219,65,3.369,475,195,2.436,Russia,Wales
1694402,10962,13869,ATT_THIRD,149,53,2.811,467,235,1.987,Northern Ireland,Poland
1694402,10962,13869,DEF_THIRD,87,108,0.806,467,235,1.987,Northern Ireland,Poland
1694402,10962,13869,MID_THIRD,231,74,3.122,467,235,1.987,Northern Ireland,Poland
1694402,13869,10962,ATT_THIRD,51,79,0.646,252,209,1.206,Poland,Northern Ireland
1694402,13869,10962,DEF_THIRD,120,53,2.264,252,209,1.206,Poland,Northern Ireland
1694402,13869,10962,MID_THIRD,81,77,1.052,252,209,1.206,Poland,Northern Ireland
1694403,3148,14622,ATT_THIRD,65,69,0.942,279,199,1.402,Germany,Ukraine
1694403,3148,14622,DEF_THIRD,124,65,1.908,279,199,1.402,Germany,Ukraine
1694403,3148,14622,MID_THIRD,90,65,1.385,279,199,1.402,Germany,Ukraine
1694403,14622,3148,ATT_THIRD,210,46,4.565,657,177,3.712,Ukraine,Germany
1694403,14622,3148,DEF_THIRD,178,76,2.342,657,177,3.712,Ukraine,Germany
1694403,14622,3148,MID_THIRD,269,55,4.891,657,177,3.712,Ukraine,Germany
1694404,10962,14622,ATT_THIRD,116,71,1.634,506,225,2.249,Northern Ireland,Ukraine
1694404,10962,14622,DEF_THIRD,144,74,1.946,506,225,2.249,Northern Ireland,Ukraine
1694404,10962,14622,MID_THIRD,246,80,3.075,506,225,2.249,Northern Ireland,Ukraine
1694404,14622,10962,ATT_THIRD,55,67,0.821,198,248,0.798,Ukraine,Northern Ireland
1694404,14622,10962,DEF_THIRD,54,91,0.593,198,248,0.798,Ukraine,Northern Ireland
1694404,14622,10962,MID_THIRD,89,90,0.989,198,248,0.798,Ukraine,Northern Ireland
1694405,3148,13869,ATT_THIRD,51,92,0.554,246,264,0.932,Germany,Poland
1694405,3148,13869,DEF_THIRD,87,77,1.13,246,264,0.932,Germany,Poland
1694405,3148,13869,MID_THIRD,108,95,1.137,246,264,0.932,Germany,Poland
1694405,13869,3148,ATT_THIRD,211,61,3.459,596,296,2.014,Poland,Germany
1694405,13869,3148,DEF_THIRD,128,128,1.0,596,296,2.014,Poland,Germany
1694405,13869,3148,MID_THIRD,257,107,2.402,596,296,2.014,Poland,Germany
1694406,13869,14622,ATT_THIRD,144,40,3.6,568,227,2.502,Poland,Ukraine
1694406,13869,14622,DEF_THIRD,141,78,1.808,568,227,2.502,Poland,Ukraine
1694406,13869,14622,MID_THIRD,283,109,2.596,568,227,2.502,Poland,Ukraine
1694406,14622,13869,ATT_THIRD,51,73,0.699,248,244,1.016,Ukraine,Poland
