id,matchId,teamId,playerIn,playerOut,minute,assists
1,2500089,1646,9127,9206,61,
2,2500089,1646,9179,93,80,
3,2500089,1646,532949,8284,94,
4,2500089,1659,7989,259531,59,
5,2500089,1659,11669,245813,59,
6,2500089,1659,8296,239411,65,
7,2500090,1628,38031,8623,68,
8,2500090,1628,25703,454,82,
9,2500090,1628,8049,8471,85,
10,2500090,1627,261,25537,62,
11,2500090,1627,8686,3577,71,
12,2500090,1627,7907,8958,74,
13,2500091,1609,7945,25867,67,
14,2500091,1609,3560,14869,68,
15,2500091,1609,279717,230020,72,
16,2500091,1673,38377,9419,61,
17,2500091,1673,303357,214654,79,
18,2500091,1673,8745,8897,87,
19,2500092,1651,15526,120,57,
20,2500092,1651,8416,61961,57,
21,2500092,1651,13451,8242,71,
22,2500092,1612,8140,25747,74,
23,2500092,1612,8955,15808,84,
24,2500092,1612,351808,120353,84,
25,2500093,1644,8889,68085,21,
26,2500093,1644,8903,3348,63,
27,2500093,1644,7888,10663,73,
28,2500093,1611,8135,7939,60,
29,2500093,1611,3413,38,77,
30,2500093,1611,7936,7928,85,
31,2500094,1613,3327,12536,48,
32,2500094,1613,134294,9227,70,
33,2500094,1613,26109,8620,85,
34,2500094,1610,3324,26010,75,
35,2500094,1610,105333,8246,75,
36,2500094,1610,3360,25707,80,
37,2500095,1625,340386,8464,59,
38,2500095,1625,404397,265673,78,
39,2500095,1625,447205,14808,82,
40,2500095,1619,8384,8953,64,
41,2500095,1619,8144,8116,64,
42,2500095,1619,297733,7885,81,
43,2500096,10531,77550,8498,57,
44,2500096,10531,343951,77557,57,
45,2500096,10531,10252,77552,68,
46,2500096,1639,7932,77548,8,
47,2500096,1639,8017,399564,76,
48,2500097,1631,419784,149019,56,
49,2500097,1631,277002,283142,61,
50,2500097,1631,448708,285508,85,
51,2500097,1624,13484,40765,74,
52,2500097,1624,257762,20441,79,
53,2500097,1624,14911,25804,84,
54,2500098,1623,56,86325,46,
55,2500098,1623,7879,32636,61,
56,2500098,1623,9194,353236,83,
57,2500098,1633,265318,26499,21,
58,2500098,1633,20620,41174,86,
59,2500098,1633,8005,8582,88,
60,2500028,1633,7970,26499,66,
61,2500028,1611,397178,7934,74,
62,2500028,1611,256998,7938,94,
63,2500028,1611,7939,3361,92,
64,2500024,1651,120,15526,73,
65,2500024,1651,61961,4255,73,
66,2500024,1651,247248,91381,79,
67,2500024,1625,26136,241564,76,
68,2500024,1625,404397,340386,83,
69,2500024,1625,353241,8324,86,
70,2500027,1613,293686,254898,71,
71,2500027,1613,3327,12536,76,
72,2500027,1624,20441,14911,77,
73,2500027,1624,36,8945,84,
74,2500027,1624,8292,61967,88,
75,2500022,1609,20612,7945,19,
76,2500022,1609,346158,230020,84,
77,2500022,1631,283142,277002,72,
78,2500022,1631,49859,149019,82,
79,2500022,1631,448708,285508,88,
80,2500062,1610,26010,22889,53,
81,2500062,1610,25707,3360,58,
82,2500062,1673,8290,173,52,
83,2500062,1673,282550,14796,62,
84,2500062,1673,9280,11078,84,
85,2500026,10531,343951,8192,62,
86,2500026,10531,179,8336,75,
87,2500026,10531,8976,8498,82,
88,2500026,1619,8384,8116,64,
89,2500026,1619,20857,240032,68,
90,2500026,1619,297733,383,83,
91,2500080,1609,7945,25413,72,
92,2500080,1609,7870,7873,72,
93,2500080,1609,7856,171283,77,
94,2500080,1646,9127,9123,22,
95,2500080,1646,270828,8284,71,
96,2500080,1646,9179,93,89,
97,2500082,1612,7964,8392,59,
98,2500082,1612,286831,222220,74,
99,2500082,1612,4908,8319,89,
100,2500082,1610,105333,25707,86,
