matchId,teamId,total_shots,total_goals,total_xG,avg_XG
1694390,4418,14,1,2.0216411041550395,0.14440293601107426
1694390,11944,8,0,1.0062892189991675,0.12578615237489593
1694391,6697,14,1,0.9996417225307684,0.07140298018076917
1694391,8731,7,0,0.6128068799132053,0.08754383998760075
1694392,6697,14,0,1.7586589989730763,0.1256184999266483
1694392,11944,12,0,0.8222064056532988,0.06851720047110824
1694393,4418,19,2,2.330611244460548,0.1226637497084499
1694393,8731,5,0,0.3010009777161902,0.06020019554323804
1694394,4418,12,2,0.7551098269439863,0.06292581891199886
1694394,6697,5,0,0.10320055781361817,0.020640111562723634
1694395,8731,12,0,1.0529296995076842,0.08774414162564036
1694395,11944,13,0,0.3200925844133518,0.024622506493334754
1694396,10682,7,1,1.463906273522385,0.20912946764605497
1694396,14496,11,1,0.7353045844674492,0.06684587131522265
1694397,2413,11,0,1.1588094818551118,0.1053463165322829
1694397,14358,6,0,0.9443388502969097,0.15738980838281827
1694398,14358,13,0,1.535766768158625,0.11813590524297114
1694398,14496,9,0,0.5916089583047188,0.06573432870052431
1694399,2413,18,0,4.530867625054411,0.25171486805857834
1694399,10682,6,0,0.6387529865150039,0.10645883108583398
1694400,2413,24,0,1.9371904103235202,0.08071626709681334
1694400,14496,2,0,0.05101621963855667,0.025508109819278334
1694401,10682,19,3,2.648555377757076,0.13939765146089872
1694401,14358,11,0,1.2252335667617542,0.11138486970561402
1694402,10962,1,0,0.01710932013745131,0.01710932013745131
1694402,13869,17,0,0.8401816656950519,0.04942245092323835
1694403,3148,18,0,1.2569828205291365,0.06983237891828536
1694403,14622,5,2,0.7647610971184033,0.15295221942368067
1694404,10962,12,0,2.3612071689711147,0.19676726408092624
1694404,14622,15,0,1.1756971087304955,0.0783798072486997
1694405,3148,14,0,1.3174471559339052,0.09410336828099322
1694405,13869,5,0,1.2694122974012219,0.25388245948024435
1694406,13869,9,0,1.0043904520230806,0.11159893911367563
1694406,14622,19,0,2.3019159640341846,0.12115347179127288
1694407,3148,26,0,3.8936756581104133,0.14975675608116973
1694407,10962,2,1,0.5682578910790148,0.2841289455395074
1694408,4687,7,0,0.5109408172213304,0.07299154531733291
